no,name,rarity,attribute,story,cutin1,cutin2,cutin3
1501,火の軍神,1,火,　の<span style="color:#969696">時代、仲間を率</span>いて数<span style="color:#b9b9b9">々のドラゴ</span>ンを討伐した<span style="color:#969696">伝</span><span style="color:#b9b9b9">説の勇者　　　　　　。豪快</span>な性格から<span style="color:#969696">くる</span>その勇ま<span style="color:#b9b9b9">しい武勲をあ　老いて</span>尚、戦い<span style="color:#969696">の最前</span>線に立<span style="color:#b9b9b9">ち続け</span>る歴戦の勇<span style="color:#969696">者。常</span><span style="color:#b9b9b9">に「絶　　　」の</span>信<span style="color:#b9b9b9">念を掲げ、戦い</span>の中で、いつ<span style="color:#b9b9b9">か自身の跡</span>を継ぐ若き<span style="color:#b9b9b9">騎士た</span><span style="color:#969696">ちの精</span>神を鍛え上げて<span style="color:#969696">いる。</span>ただ、自身はといえば仲間<span style="color:#b9b9b9">のため　見据</span><span style="color:#969696">えな</span><span style="color:#b9b9b9">がら、　　　　　　は、遺す数</span><span style="color:#969696">多の部下の</span><span style="color:#b9b9b9">顔、そして　の　顔を</span><span style="color:#969696">思い</span><span style="color:#b9b9b9">出してい</span>,オ……ォオ,ォォォオオオオ！！,絶……対ナ……ル帰還ヲ……
1502,[幽喰王]スリィ,6,闇,並ぶ頭が地を見下ろす。燃える平野を、割れる海を、堕ちゆく天を、終わる世界を、笑い、微笑み、綻びながら、破顔の笑みで迎え、嘲笑う。そして一から数えて十の徒が、この世全てを喰らうべく、裏から表へ躍り出る。此処より世界を反転させ、或いは虚無へと還すために。しかしやがて、一つの徒が裏へと返り、それらの笑みは終わりを告げた。,凡て喰らって上げまスネェ！,ニャフフフフフ！！,さてハてこれで終イでスネェ
1503,ヤモリ,4,水,「剣顎種」なる一族の頂に立つ若き王クロコダイル。その右腕として長年影から支えて来たのが、クロコダイルの親友たるヤモリであった。出自は異なるものの、かつて同じ師の下で育み合った技量と友情は決して色褪せる事無く、だからこそヤモリは王の背を護る役目を、他ならぬクロコダイル自身より託されるに至った。その証である右腕の円盾。そして刻まれた紋章に果たすべき己の責務を誓い、ヤモリは静かに目をつむり続ける。,……zzz,まだまだ寝足りねぇなぁ……,んぁ……もう朝か？
1504,[快眠王]ヤモリ,5,水,趣味は惰眠、あるいは酒と、王であるクロコダイルと異なり威厳を微塵も感じさせず、かつ自由奔放に生きるヤモリは、種が異なるにも関わらず、一族の誰からも好かれる存在であった。幼き子らを相手に遊び、老いたる者の話しに笑い、同志と共に酒を酌む。そんなヤモリを見て、クロコダイルはいつか叶えるべき、一族の幸福な未来を思い描く。しかし、それら全てが灰塵へと帰す、夢の終わりは確かに近付いていた。,……zzz……zzz,まだ起きねぇぜ俺ぁよぉ……,んぁ……もう朝か？
1505,[解眼王]ヤモリ,6,水,復讐とは、純粋な動機である。その要因が己では無く他者である時、それは更なる純粋さを得る。見渡すかぎり「剣鰐種」の里は焼かれ、希少とされる鱗と牙が、幼き子らから、老いたる者から、同志たちから、文字通り根こそぎ奪い取られようとしていた。しかし最早、その行いに興味は無い。手に握るのは、憎むべき血を絶やした剣。地に堕ちるのは、幼き頃に刻まれた呪いの証を隠し続けた円盾。それがその時、「剣鰐種」への復讐を果たしたヤモリの目に映った光景の全てである。,さぁ……起きる時間だぜ,そろそろ目ぇ……醒ましな,俺が夢から醒ましてやるよ
1506,ハインズ,4,光,ハインズは王都に存在する「バベル商会」にて雑用を務める青年である。まるで塵が如くに彼と接する仮面の主を筆頭に、秒単位にて仕事を見量る冷血秘書、あるいは時たま商会へと出入りしてはハインズを玩具にして遊ぶ三姉妹に囲まれ、苦労の絶えぬ日々を送っている。叶うのならば一刻も早く抜け出したいその職場。だからこそハインズはいつか訪れるであろう、借金完済の時を目指し、今日も必死で雑務に勤しむ。,まったく人使いが荒いなぁ,雑用だって大事な仕事さ！,神様にでも祈ってみるか……
1507,[雑用王]ハインズ,5,光,天寿を全うするまでの、およそ七割三分ほどの時間。それが負債を返済する為に、ハインズが商会にて身を粉にして働かねばならぬ契約期間であった。当初その期間は僅か三日ほどだったものの、仮面の主に謀られ、課された利息は更に嵩み、商会に来て一年が経つ頃にはついに今ほどの膨大な返済額となっていた。しかしそれでもハインズは諦めない。いつか訪れるであろう自由を求め、今日も不眠で雑務に勤しむ。,残業代はきっちり貰うよ！,雑用だって色々あるんだ！,あぁ神様どうかお助けを……
1508,[雑陽王]ハインズ,6,光,元々貴族の出であったハインズは「大災厄」の数年前、王都を襲った飛竜の大群により、家も地位も財産も、その全てを喪った。彼に残ったのは妻と子だけ。だからこそ、せめて二人には人並みの暮らしをさせるべく、ハインズはありとあらゆる名家や金貸し、あるいは商家を駆けずり回った。そしてそんな彼が、まさに神にもすがる思いで叩いた最後の戸が「バベル商会」のそれであった。そしていつか訪れるであろう幸福を夢見、彼はその扉を押し開いた。,妻と子供に苦労はさせない！,雑用だって胸を張るのさ！,神様……どうかお恵みを！
1509,ヴォッシュ,4,火,全ての竜を撃滅せんとする「竜撃滅組織グルト」。その頭目たる姉ヴェーラを支えるのが、双子の弟ヴォッシュである。十数年前「大災厄」により壊滅的な打撃を受けた前身を継ぎ、彼らは組織を復興、更には拡大するに至っていた。しかし、それと共に重責や、あるいは枷とも呼ぶべき事象が彼らに重くのしかかる。ヴォッシュはそれらから姉を守る役目を自ら背負い、日々ドラゴンを狩るだけで無く、組織の運営、維持に努めている。,果たすべきは竜の撃滅,急所を突けば案外脆い,策は二重に……だ
1510,[滅竜王]ヴォッシュ,5,火,ことドラゴンを狩る事に関し、姉のヴェーラを上回る者を、ヴォッシュは見た事が無い。それは彼女の意志と鍛錬が成すものであり、双子の弟である彼ですら、その努力に及ぶ事は全く無い。ゆえにこそヴェーラは頭目を張り、他の者を惹き付ける。その偶像を崩してはならない。やがてヴォッシュはおもむろに、息絶えたドラゴンの眼球より槍を引き抜く。それは姉すら一人では敵わぬ、悪を冠する名の龍。ヴォッシュは姉を上回る者を見た事は無い。そして無論、己の才を上回る者も。,悪なる害を取り除く,討つなら今だ,ここで一気に駆逐しよう
