no,name,rarity,attribute,story,cutin1,cutin2,cutin3
1001,グレン,4,火,カムリナ族と呼ばれる、遊牧の民に生まれた少年。数年前、一族がドラゴンに襲われ天涯孤独の身になってからは、この世の全てのドラゴンを討ち倒すべく、一人修行に明け暮れている。復讐心では無く、自身と同じ悲劇を無くしたいという思いから王国騎士団に入る道を選び王都を訪れた。,ただじゃ還さねぇ！,後悔しても遅いんだよッ！,絶対護ってやるからよ！
1002,剣士グレン,5,火,王都を襲ったドラゴンを退け、多くの民衆を救った青年。しかし王国はその活躍を全て騎士団のものとし、彼や、彼と共に戦った者たちの功績を認めようとはしなかった。自らの保身のみに傾倒する王政を目の当たりにしたグレンは失望し騎士団への道をきっぱり見限る。そして共に戦った三人の仲間たちと共に、新たな道を歩み始めた。,還すわけにはいかねぇんだよ,後悔先に立たずってなぁッ!,俺が必ず護ってやるッ！
1003,剣闘士グレン,6,火,この世の全てのドラゴンを打ち倒すべく、旅を続ける炎の剣士。その信念は、かつて一族がドラゴンに襲われた際、彼を救ってくれた或る騎士に由来する。「絶対帰還」を信条とするその騎士は、勇ましくドラゴンに対するも、常に仲間を護り戦う。強さだけでは意味が無い。強さとは他者を護ったその時に、初めて意味を為すのだと、グレンは知った。いつか多くを護るべく、彼の旅は続く。,てめぇは絶対還さねぇ！,泣く程後悔させてやるぜッ！,俺が世界を救ってやるッ！！
1004,リヴィオ,4,闇,帝国で育ち、帝国軍に在籍していた少年。しかし謎の病を発症したことから本来の任務を果たすことが難しくなり軍を離れた。今はその、自身を蝕む病の正体、並びに治療法を探すべく旅を続けており、王都近郊に、あらゆる知識を有する「禁書館」なる場所があると聞き及び、調査していた。,……うん……まだ大丈夫,この槍一つが僕の領域,……疼く……か……
1005,傑士リヴィオ,5,闇,王都にて「禁書館」についての調査を続ける青年。彼が集めた情報によれば、禁書館は既に焼失したものの、世界の何処かにそれに代わる書館が現存する、という事であった。進む病を前にして、彼には多少の迷いも無い。まだ見ぬ書館に希望を託し、リヴィオはこの王都で出会った三人の仲間たちと共に、新たな道を歩み始めた。,僕は……鬼に成る,それ以上近付かない方が良い,……くッ……右腕がッ
1006,傑戒士リヴィオ,6,闇,自身が罹った病の治療法を求め、旅を続ける黒き槍使い。病が右半身を蝕む中、彼は一つの情報を得る。それは「月虹書館」と呼ばれる存在の話であった。「禁書館」に匹敵する書量を誇ると云われるも、その場所、そして現れる時が「不定」であり、まるで幻のような書館であるという。得難き希望と理解りつつも、自身に迫る終わりに追われ、新たな手がかりを得たリヴィオの旅は続く。,……この右手が貴様を討つ,そこから先は絶対領域だ,……くッ……鎮まれッ
1007,サヤ,4,水,自身の記憶の全てを失くした少女。17年前の「大災厄」後、各地で大量に発生している「記憶を失くす病」に侵され、ここ一年以前の記憶を喪った。父母の記憶すら無く、今は王都で暮らす祖母のみが認識出来る唯一の肉親であり、月に一度の面会日であるその日、彼女は王都へやって来た。,此の矢が貫く！,退けば射たれることはない,私の道はこの先にある
1008,弓手サヤ,5,水,王都襲撃の危機に、勇敢にも立ち向かった戦士。しかし戦いを終え病室へ向かった彼女を待っていたのは、「記憶を失くした」祖母と、祖母が遺した一通の手紙だった。手紙に書かれた父母の真実。それを知り、彼女は旅に出る決意をする。孤独となったサヤはこの王都で出会った三人の仲間たちと共に、新たな道を歩み始めた。,射ち通すッ！,退かねば此の矢が穿つだけだ,進むことしか私は知らない
1009,閃弓手サヤ,6,水,自らの喪った過去を取り戻すべく、旅を続ける水の射手。祖母が遺してくれた手紙には、二つのことが書かれていた。一つ、彼女は本当の祖母では無く、ゆえに心配せずともよいとのこと。二つ、サヤの父母は今「東の世界」に居るということ。これを読み自分が何を欲しているのかは分からない。しかしたとえ僅かでも過去の欠片を取り戻し、そののち祖母の元へ帰る為、サヤの旅は続く。,此の矢はお前の命に届く！,退け、そこは私が通す道だ,今この時こそ、私の生だ
1010,エルフィ,4,光,太古から続く「竜人」の血を継ぐ者。竜人族が暮らす「虹の谷」を束ねる王の娘であり、また、竜の声を聴くことが出来る巫女でもある。王都にて執り行われる調停式に賓客として招かれ、参列していたが、ひょんなことから道に迷い路地裏をさまよっていた。そしてそこで彼女は竜の声を聴く。,竜の声が私を導く……,光よ満たせ、闇を払え！,精霊よ、我らに竜の加護を！
