no,name,rarity,attribute,story,cutin1,cutin2,cutin3
201,[ヴィザリの猟犬]エドガー,4,闇,軍内部で孤立したエドガーは半ば強制的に軍から退いた。その後、傭兵として放浪していた彼は、その日も南砂漠の酒場で安酒をなめていた。意識が混濁する中、酒場は踊り子の登場で盛り上がる。一時それが昔失くした幼馴染の姿と重なったが、すぐに思い直し彼は酒場を後にした。,シュー……フシュー…,……過去を捨て去るッ！,未来へ繋ぐ！！
202,[始英霊]クレメンス,4,無,反政府組織「白い狩人」の元幹部である騎士。ついに始まる「白い狩人」と「共和国」との全面戦争を、彼は悲しみの眼差しで見守っていた。この戦争を止めるため、打てる手はほぼ打ち尽くし、もはや取れる手立ては一つしか無い。それは、かつての親友を討つということであった。,さぁてどうしたもんかね,なるように、なれ！！
203,[赫焉姫]ラファエル,4,火,ドラゴンと人とを同じ谷に住まわせ、その二者が円満かつ円滑に生活出来るよう管理を行う、女狩人の長。その管理は非常に厳しいものであり、ドラゴンも人も一様に彼女を恐れているが、一方で時折見せる慈愛に満ちた表情は、皆に母親のような安心感を与えている。,安らかに眠れ……,せめて苦しまずに！！
204,[皇王の斗宿]セリム,4,水,かねてより各地のドラゴンの生態を調査している彼女は、ある一つの傾向に気付く。それはドラゴン同士の争いについてであり、通常ドラゴンは自身の縄張りに侵入したものを排除する習性があるが、それが同系色間では、例え種が異なったとしても行われないという現象であった。,興味深いな,一の悪より百の善だ！,脅威は、脅威でしか無い
205,[封龍士]マクシミリアン,4,光,ドラゴンと人とが共存する故郷、「悠久の谷」から追放された女戦士。騎士団団長と交わした約束は守られているものの、谷の存在は各地に知れ渡り、今やその特異な環境やドラゴンを求め各軍が動き出している。谷の決定は、彼女の追放の後、この土地を捨てるというものであった。,処断、遂行！,貴様を排除するッ！,争って何になるんだ！
206,[轟虎の残影]イザーク,4,闇,ドラゴンと人間が共存する唯一の土地「悠久の谷」の長き歴史に終止符を打った、帝国軍ドラゴン捕獲部隊隊長。故郷に住む人間を一人残らず排除し、残されたドラゴンを全てその手中に収めた手腕は軍内部で称賛されると共に、しかし一方でその後何十年にも渡り恐れられたという。,動くな、そこまでだ,情なんて邪魔なだけさ
207,[因幡の玉兎]ルドルフ,4,無,その首に莫大な賞金が懸かっている狩人。元はドラゴンへと向けられていたその弓は今、対象を人間に替え日夜新たな惨劇を生んでいる。以前属していた「白の狩人」から抜け、自由気ままに活動していたが、その長テオドールが自身の命を狙っていると知り、次の標的を彼と定めた。,んー、しぶといねぇ,はい、これで終わり,さぁ、狙うぞー
208,[狂緋の魔女]リーゼロッテ,4,火,「爆炎花」とはドラゴンの体内に流れる血液の組成を変化させ、火薬に似た構造物に置き換える高度応用錬金術の一種である。本来、錬金術で対象物に変化を与える場合その動きを完全に停止させる必要があり、流れる血液を都度変化させ続けるのは、それだけでも芸術の域といえる。,散りなさい…,これが爆炎の芸術です,やはり爆炎は美しい
209,[豊穣の神徒]フローラ,4,水,自身の周りに雨が降り続ける彼女は、様々な土地で多くの者に感謝され続けていたが、同時に彼らが自身を不気味がっていることにも気付いていた。もはや慣れっこのフローラは全く気にしないが、果たして自分は結婚出来るのであろうか、などと小雨の中で物思いに耽る日々である。,いきますよ！,撃ちつくします！,力を出し切ります！
210,[聖教妃]パトリシア,4,光,「祖龍」とは即ち、万物の祖である。永遠の命を持ち、あらゆる時代の終わりと始まりを司るモノ。神が遣わす使徒たれど、その行いに干渉することは出来ない。パトリシアはこの「祖龍」こそ、全ての時代の終わりに訪れる災厄であると突き止めた。そして、それを操る影の存在も。,お前では無い！,必ずつきとめます！！
