no,name,rarity,attribute,story,cutin1,cutin2,cutin3
901,オーヴォ,4,水,「結壊師」なる役割を与えられ、主たる者に命じられるまま、一人孤独に訓練を続けるオーヴォ。書から生み出された彼には、「家族」と呼べる者が居なかった。或いは「仲間」と呼ぶ者すら。生まれた時からずっと一人。いつ終わるとも知れぬその孤独の訓練は、しかし或る時唐突に変わる。主が「仲間」を連れて来た。オーヴォと同じく、書から生まれた生無き四人。主は五人をまとめ、「クインテット」とそう呼んだ。,仲間など誰も居ない,イエス　マスター,この音を奏でる
902,第二奏者オーヴォ,5,水,主に隠れ、「仲間」と共に奏でる楽器。それがオーヴォにとって、最も楽しく、そして嬉しき瞬間でもあった。彼は毎日、その五重奏を待ちわびた。最初は拙かった彼らの演奏も、今ではなかなかの腕前へと上達しており、更に尚、クインテットの呼吸と音は、より良く重なり続けている。それらを一つ重ねるごとに、オーヴォの中で四人の仲間は、「家族」と呼べる存在になっていく。だが、彼と家族の別れの時は、刻一刻と迫っていた。,僕の家族はもう居ない,イエス　マエストロ,これは「家族」の音
903,フォルン,4,光,自身がこの世に生まれた意味。フォルンにとって、主の「心」を満たすことこそ、其れそのものに相違ない。記憶と身体と、そして心。それらを創り与えてくれた、主たる者への感謝の念は、また、彼にとっての「心」の支えでもあった。心を満たし、満たされる。殴られ、ケラレ、満たされる。骨を折られて、満たされる。水を呑まされ、熱した鉄が肌を焼いても、髪を掴まれ引きずり回され、首のその手が呼吸を止めても、涙を流し、笑みを浮かべ、「心」は満たされ、続いてゆく。,主の心を、僕は満たす,イエス　マスター,この音を奏でる
904,第三奏者フォルン,5,光,その日もフォルンは顔を洗っていた。血を含み、薄紅色になった雫が、頬に滴り赤黒いあざを伝う。痛みはやがて熱さに変わり、引かぬ余韻が疼き続ける。それでも彼は笑っていた。そんな日が幾日も続いた頃、フォルンは声を掛けられた。自身と同じ、書の者たち。その者たちに誘われた。音を奏でる楽団に。だが、フォルンは首を横に振った。主の心を満たしたい、と。四人の中の一人が言った。君の「心」は満ちているのか、と。そして頬を静かに、涙が伝った。,みんなの心を、満たしたい,イエス　マエストロ,これは「心」の音
905,クラリネ,4,闇,クラリネは「記憶」をあまり持たなかった。彼女たち、書から生まれたクインテットは、そもそも揃い、必要以上の過去を持たぬが、クラリネの書にはその誰にも増して、過去の記憶が記されていなかった。なぜなら彼女は、主が見捨てた欠陥品。束ねることを放棄された、白紙にまみれた書きかけの書。ゆえに彼女は多くを識らず、或いは言葉もあまり持たない。時折遠くの何処かで鳴っている、不思議な音の正体も、彼女の「記憶」の中には無かった。,ふむふむ！,いえす　ますたー！,おとをかなでる！
906,第四奏者クラリネ,5,闇,五人の中で、楽器の扱いが最も上手いのはクラリネであった。楽器の持ち方ですら苦戦しているクインテットの面々の中で、教本に載る手本の通り、彼女はすぐさま正しく構え、音を重ねて曲を奏でる。白紙がゆえの吸収力。驚く四人の視線を浴び、得意になったクラリネは、更に音を連ねる。すると、続けてフルトが奏でる。そしてファーゴが音を出し、オーヴォも連ねて重ねていく。最後にフォルンが音を束ね、クインテットの初めてのコンサートが、五人の前で幕を開けた。,ん、いいおと！,いえす　まえすろろ！,これは「きおく」のおと！
907,フルト,4,無,書から生み出された存在であるフルトは、およそ「夢」といえるものを持ち合わせては居なかった。自分が知らぬ他人と他人と無数の他人。それらの過去を繋ぎ合わせた、継ぎ接ぎだらけの自分の生。如何に自分で考えようと、如何に自分で行動しようと、フルト自身が、それら全てを信じられない。即ち彼女は、未来へ希望を一切持たず、ただ命じられるまま結壊師としての戦闘訓練を繰り返していた。,夢も希望も持ちはしない,イエス　マスター,この音を奏でる
908,第五奏者フルト,5,無,自身と同じ「生い立ち」を持つ四人の仲間と出会い、或る「夢」を持ったフルト。クインテットと呼ばれる彼女たちは、果たして小さな「楽団」であった。五人は日々の訓練、その合間に、主に隠れ楽器の練習を積んでいた。五人による、五人の為の五重奏。今はその小さなコンサートを、やがては大きく、更に広く、あまねく人々に聴いて貰う事が、五人と、そしてフルトの「夢」である。だが、彼女の夢はついに叶う事はなかった。,私の夢は此処にはもう無い,イエス　マエストロ,これは「夢」の音
909,[加工人]リリィ,5,無,リリィが書を編む。するとそこから其れらは生まれる。即ち彼らと、彼女たち、それらの想いの切れ端が、形となって浮かび上がる。即ちそれが彼女の特性。或いは主に与えられた、封印されし禁の一つ。故にリリィは眠っている。否。リリィは眠らされている。主が彼女を欲する時まで。世界に変化が始まる時まで。来たるべき刻、其れが訪れるまで。彼女は眠り、続けている。,んあ？了解了解～……,むにゃむにゃ……,起こさないでね～……
910,[装飾人]ユリカ・リリィ,6,無,<br class="spacer">来るべき刻、其れが近付く。リリィは静かに、眼を開けた。<br class="spacer"><br class="spacer">,キミの力も欠片にしとこう,準備オッケー、さぁいくよ,了解了解、任せといて～
