no,name,rarity,attribute,story,cutin1,cutin2,cutin3
1401,[幻喰王]フォウ,6,闇,キャトルは人形作　　　　　生業とする名家に<br class="spacer">生まれた四男坊　　　<span style="color:blue"><strong>頂</strong></span>　　　来を期待される<br class="spacer">三人の兄と異　　　　<span style="color:blue"><strong>戴</strong></span>　　　　不器用極まる<br class="spacer">キャトルに　　　　　<span style="color:blue"><strong>致</strong></span>　　　　　一族誰もが<br class="spacer">期待など　　　　　　<span style="color:blue"><strong>し</strong></span>　　　　　　。そんな<br class="spacer">或る日のこ　　　　　<span style="color:blue"><strong>ま</strong></span>　　　　　敷の庭に落<br class="spacer">ちている朽ち　　　　<span style="color:blue"><strong>し</strong></span>　　　　降る雨の中、<br class="spacer">濡れたその人形　　　<span style="color:blue"><strong>タ</strong></span>　　　を約束する。そ<br class="spacer">　して兄三人は、そ　　　　　惨な死を遂げた。,ケハハハハハッ！！,これにて今宵は幕引きヲ,幻影のジ我を貴方ニ
1402,[騎士]Allen,5,火,<span text-align="left"><span style="color:#FF1493"><strong>[Chevalier's Profile]</strong></span><br class="spacer">本名：アレン・バスティオン<br class="spacer">年齢：２２<br class="spacer">身長：１７６<br class="spacer">体重：６１<br class="spacer">趣味：剣術、時計集め,ボクは君を護る騎士になる！,いつでも君の還りを待ってる,この時間こそ大切なんだ
1403,[聖火騎士]Allen,6,火,アレンは、乙女の花園「D-Club」の新入りシュヴァリエである。彼は初入館から間も少ないに関わらず、誠実極まるその接客、或いは時折見せる無邪気な笑顔で乙女たちの心を掴み、今やトップシュヴァリエたるファウストに匹敵するほどの人気を誇る。中でもとりわけ好評なのが、正子に至るその前に、必ず乙女へ囁きかける「絶対帰還の子守唄」である。このささめきを耳に受けた乙女は、十中八九宴を中断し、素直に家に帰るという。,必ず還るとボクは誓う！,此処が君の還る場所さ,還るからこそ焦れるんだ
1404,[騎士]Cain,5,闇,<span style="color:#FF1493"><strong>[Chevalier's Profile]</strong></span><br class="spacer">本名：カイン・ヴェルガー<br class="spacer">年齢：２２<br class="spacer">身長：１７５<br class="spacer">体重：６２<br class="spacer">趣味：一人旅、占い（魔眼）,遅いぞ、鈍間！,俺にはお前の全てが視える,魔眼……開眼ッ！
1405,[魔刻騎士]Cain,6,闇,つい先頃、アレンと時を同じくして乙女の楽園「D-Club」に入館した新米シュヴァリエ、カイン。乙女を罵り昂揚させるその接客スタイルは、孤高のナンバー２シュヴァリエである、かのヴァルトルスをも彷ふつとさせるが、彼の武器はそれだけでは無い。それこそが、平常時は封印された彼の左眼が放つ「邪竜魔眼の熱視線」である。その眼差しは、如何なる乙女の心すらも射抜き、あげく占いの効果まであるという。,俺の心を乱すな、愚衆！,黙って運命を受け入れろ,この眼でお前の未来を拓く
1406,[騎士]Juliet,5,闇,<span style="color:#FF1493"><strong>[Chevalier's Profile]</strong></span><br class="spacer">本名：ジュリエット・ロウ<br class="spacer">年齢：２５<br class="spacer">身長：１８０<br class="spacer">体重：６４<br class="spacer">趣味：賭け事、野営,また先輩にどやされる……,俺の秘密……聞いて欲しいな,君と俺との秘密だよ？
1407,[密帝騎士]Juliet,6,闇,ジュリエットが乙女の花園「D-Club」に入館して早三年。彼のシュヴァリエとしての道は混迷を極めていた。かつての伝説的ナンバー１シュヴァリエ、ミスターＣの推薦により、鳴り物入りで花園入りを果たした彼であったが、その甘いルックス、或いはスタイルだけでは、目の肥えた乙女たちの心を掴む事は出来なかった。あげく会話の話題にと始めた趣味の野営でボヤを出し、Ｃ先輩に借金までしている始末である。,まーた先輩のドヤされちまう,恋に遅刻はつきもの、だろ？,俺の秘密、教えたげるよ
1408,[騎士]Valtols,5,光,<span style="color:#FF1493"><strong>[Chevalier's Profile]</strong></span><br class="spacer">本名：ヴァルトルス<br class="spacer">年齢：６２８４<br class="spacer">身長：１７７<br class="spacer">体重：５８<br class="spacer">趣味：衛生管理、薔薇のせん定,乙女風情が私に寄るな！,せいぜい枯れぬよう咲き誇れ,私の花に触れる事は許さん
1409,[白凛騎士]Valtols,6,光,他を寄せ付けぬ孤高のシュヴァリエ。それこそヴァルトルスが乙女の花園「D-Club」にて「神域の白き薔薇」と呼ばれる所以である。彼は乙女の側へは近寄らないし、乙女にもまた近寄らせない。つまり必ず一定の距離、即ち「神域」を確保しつつ接客に臨む。この領域を侵そうものなら乙女といえど天罰が下り、あげく出禁になるという。ゆえに乙女たちはその鋭き棘に触れぬよう今日も離れた卓に座り、皆で静かに純白の薔薇を見守る。,乙女風情が私に触れるな！,花如き、貴様一輪で十分だ,花を護るも、主が務めだ
1410,[騎士]Faust,5,水,<span style="color:#FF1493"><strong>[Chevalier's Profile]</strong></span><br class="spacer">本名：ファウスト・G・メルフィス<br class="spacer">年齢：２８<br class="spacer">身長：１８０<br class="spacer">体重：６８<br class="spacer">趣味：読書、乗馬、錬金,今宵の月に私は誓いましょう,これが、貴方と私の錬金術,ククク……
