no,name,rarity,attribute,story,cutin1,cutin2,cutin3
301,およりさま(進化合成用),6,無,<span style="color:#FF1493"><strong>進化合成用</strong></span><br class="spacer">色んな家のひな壇に座っている、楽しげなよりしろ。他のよりしろに比べてうれしそう。,せっくー,おひなさまー
302,[電撃妃]リュシー,5,光,妹であるルシア、ルーシィと共に、この世の全ての理が記されているという写本を求め、遠き地より王国へと訪れた貴族出身の冒険家。あらゆる書物を管理する「禁書館」にこそ、求めるそれは在ると信じるが、書の発見が先か、故郷の滅亡が先か、三姉妹には焦りが募る。,必ずこの手に！,これこそが真理！
303,[攻略神]リーシャ,6,火,「傍らの法術」を習得し、第832代当主としての頭角を現し始めたリーシャ。身にまとう霊装は在籍する学び舎での集団共通装束であり、襟元の結び布がその者の霊級の高さを示す。尚、翠色のそれは第三霊級の証であり、その存在はリーシャを含め4人ほどしか承認されていない。,見えました！,攻略完了！,攻略完了！
304,[電撃娘]コロナ,5,光,ある実験中の事故により、遥か遠い未来から飛ばされてきた少女。手にした次元転移装置「ポリタン」の電池は切れ、その充電のためには絶大な電力を要すると知った彼女は途方に暮れていたが、そんな彼女に救いの声を掛ける者があった。心優しき光の魔導師、ローザである。,あわわわ～,ごめんなさーい！
305,ディオーネ,4,水,ある砂漠の酒場。記憶を失くした女や、過去を捨てた傭兵が集う、そんななんの変哲も無い場末の酒場の舞台でディオーネは踊っていた。その流麗な身のこなしは観る者全てを魅了し、あらゆる権力者を虜にしてきた。そんな人の滑稽さに笑みしつつ、神たるディオーネは今宵も踊る。,邪魔だ下がってろ！,これが世界の選択だ！,私がやる
306,[世界神]ディオーネ,5,水,神々、とは世界を創造した者の事では無い。既に在るこの世界を管理する為に、創造主たる魂から分離した存在に過ぎない。である為、本来、神々は自らの使徒と共に世界を正しく管理するのが役目だが、ディオーネの場合、己の責務をほっぽり出し、人の世で放蕩の旅を続けている。,滑稽だな半端者！,さぁ、刻むぞ！,引っ込んでろ
307,ナタル,4,火,ワノクニの使徒、ナタル。三姉妹の末っ子である彼女はワノクニの神や姉たちにとても可愛がられ自由奔放に育った。そんな彼女の遊び場はもっぱら人が住む地上であり、時折森に訪れては様々な獣を相手にその技に磨きを掛けている。と、それを木影から見つめる一人の青年が居た。,耐えてみろデス！,まだまだデスね！
308,[焔将]ナタル,5,火,ナタルを「師匠」と呼ぶ青年をその拳で殴り飛ばした時、彼女はあることに気づいた。青年は戦いの最中どう見ても目を閉じている。教えを乞うてきたから手ほどきをしているのに不遜な奴…と思うナタルが、その青年の「女人恐怖症」なる病を知るのはもうしばらく先のことである。,さぁ、いくデスよ！,こっちの番デスね！,力を爆発させるんデス！
309,シェルクス,4,光,竜人族の末裔がひっそりと暮らす「光りの谷」。シェルクスはそこに王の嫡男として生まれた。その谷には遥か昔、人とドラゴンとが共存していたとの言い伝えがあり、争いを心から嘆くシェルクスにとって、その伝承こそ自分が思い描く理想であり、いつか果たすべき目標であった。,退かねば射つ！,全ては我が理想のため！,風よ、力を貸してくれ
310,[風王]シェルクス,5,光,その日は「光りの谷」の王子、シェルクスの生誕５０年を祝って各地の竜人族の末裔たちが集まり、祭りがとり行われていた。と、賑やかな宴の中ある者がシェルクスの方を覗っている。親である水の谷の竜人族の長の影に隠れつつ、時折顔を赤らめるその少女は、名をルカといった。,風よ導け！,射抜け我が羽矢！,これが風守の力だ
311,ノア,4,闇,軍内部機密開発所所長。それがノアの肩書きである。軍に囚われた彼女は自由と引き換えに莫大な予算と膨大な人員を与えられ、ある兵器の蘇生実験を続けていた。それがどういう意味を持つか…とうの昔に悟った彼女は、くわえた煙草の紫煙をくゆらせ、己が運命の皮肉を嘲笑った。,脆弱だな,お前では足りんよ,対象を分析
312,[発明王]ノア,5,闇,少女は昔、夢を見た。彼女が作った色とりどりの発明品が世の中を豊かにする様を。それは自動で走る車輪のついた乗り物であったり、それは空を飛ぶ翼を持った乗り物であったり。今では叶わぬ夢と憧れ。遠き日に思いを馳せ、漂う紫煙が曇る中、ノアは最終兵器「Ｖ」を起動した。,これが私の選んだ道だ,実験終了お疲れ様,分析完了
313,[粘着王]ドラコ,5,闇,★☆ドラっち日記　１０５日目　晴れ☆★<br class="spacer"><br class="spacer">今日やっと！ついに！とうとうドラっちと合流出来たッス！いつもはガード（プロテクト）が固いドラっちスけど春の陽気で油断したみたいッスね！……今度は……逃がさないッス！！,ドラっちLOVEィィィ！！,ここにハンコ押すッス！,ドラっちLOVEィィィ！！
314,超悪いよりしろ(超成功用),6,無,<span style="color:#FF1493"><strong>レベルアップ合成用・超成功用</strong></span><br class="spacer">ひょんな事から超グレた、物凄くあくどいよりしろ。合成素材として使用すると悪さを働き、必ず超成功にしてくれる。,いくわけないだろー,かったるいー
315,しろちょこ(お返し用),1,無,<span style="color:#FF1493"><strong>お返し用</strong></span><br class="spacer">人の感謝に応える為に生まれた、お返しに最適なよりしろ。他のよりしろに比べて苦め。,ありがとー,どいたしましてー
316,春のよりしろ(入学祝い),6,無,<span style="color:#FF1493"><strong>入学祝い(進化合成・売却用)</strong></span><br class="spacer">春のおとずれとともにやって来た、朗らかなよりしろ。他のよりしろに比べてややウキウキ。,はじめましてー,よろしくおねがいします
317,ヴァルトルス,4,光,神々が住む「天上界」を管理するヴァルトルス。彼ほどに規律と規範、そして潔癖を体現する者は天地において二人と存在しない。なぜなら、彼の敬愛する創造主の目指すべき世界はその完璧な世界であり、もし意に反する者があれば例え神であろうと彼は迷い無く「天罰」を下す。,愚かなものだな,触れるな汚らわしい！！,無駄だ、去るがいい
318,[天界神]ヴァルトルス,5,光,ヴァルトルスは「天上界」に不純なモノが塵一片でも混じることを許さない。不純なモノはすぐに伝播し他を腐敗させる。だからこそ芽の内に摘む。それが彼の信念であった。そんな彼の剣の矛先に、ほんの僅かに自我を持ってしまった名も無き「魂の器」が所在無さげに漂っていた。,処分せねばなるまい,私に触れるなぁああ！！,触れることは許さない
319,ネフティリア,4,闇,ネフティリアは非常に手のかかる使徒であった。遥かなる過去、彼女と冥王は何れも煉獄神の手によって生み出され、その使徒として人の世の魂を管理していた。しかし出来の良い冥王と常に比べられることで、いかにも粗暴なネフティリアがグレるのは時間の問題であった。,めんどくせぇなー！,あー、まどろっこしい！,もう一度だ！
320,[堕将]ネフティリア,5,闇,天上界に見切りをつけたネフティリアは自ら使徒の資格を捨て地上へと降り立った。世話をしていた黒と白の幼き使徒を置いてきた事は心残りであったが、まぁ冥王に任せておけば…と思案しつつ歩いていると、ふと背後に気配。振り返るとそこには名も無き「魂の器」が漂っていた。,オラオラいくぜー！,そいやっとー！！,まだまだいくぜー！
321,フラウ,4,水,フラウの周りには常に雨が降っていた。それが今は亡き母からの遺伝なのか、母を想う心象の顕れなのかは分からなかったが、いずれにしろ彼女は気味悪がられ友人も無く、村では常に一人であった。そんなある日のこと。当然のように降り続ける雨の中、フラウは「彼」の声を聴く。,思いっきり！！,細かいことは気にしない！,あててやる！
322,[雨王]フラウ,5,水,■「０－６」取り扱い説明書■<br class="spacer"><br class="spacer">「彼」は不離型生体兵器です。<br class="spacer">「彼」は自我を持ちます。<br class="spacer">※機嫌を損ねないように注意しましょう。<br class="spacer">「彼」は水をエネルギー源とします。<br class="spacer">「彼」は次元転移装置を内蔵しています。<br class="spacer">「彼」はその目的の達成と共に……,いくよ、０－６！！,私ニ任セロ、フラウ！,粒子収束！
323,あまてらす,4,火,ワノクニと呼ばれる異界を管理する神、あまてらす。神々が失敗作と見放したその世界であったが、あまてらすはむしろそんな不完全な世界をこそ好きこのんでいた。ただ、それは慈愛の心からでは無く、あくまで彼女の信念である享楽主義を満たすに相応しい箱庭だったからである。,眼福眼福…ですわ,散華…ですわ,少し休憩…ですわ
324,[異界神]あまてらす,5,火,あまてらすは、ワノクニに必要以上の介入者が現れる事を心良しとしなかった。箱庭はあくまでも箱庭。そこに他者の手が介在する事は即ち魂の不純を招く。彼女はワノクニと世界との次元を歪め干渉出来ないよう細工をしつつ、唯一互いが通ずる巨大な祠のみ遥か東の洋上に設えた。,愉快愉快…ですわ,一炊の夢…ですわ,お暇頂戴…ですわ
325,[兵器]β,5,無,注意：閲覧、解放禁止<br class="spacer">封印指定原書：No.2082<br class="spacer"><br class="spacer">表題：時ノ因果ヲ破壊セシモノ,我、時ヲ刻ム,74111114221417113,我、時ヲ制止スル
326,[時間兵器]β,6,無,この世界の根源を構築した創造主は、次にこの世界を完成に至らせる為、幾つかの機能を持つ人形を創造し、その人形たちに世界を造り上げさせた。それらはそれぞれ「物質」、「魂」、「心」そして「時」を司っており、その「時」を司る人形こそB-02、通称「β」であった。,我、時ヲ解放ス,221br;4171134133,我、時ヲ制止スル
327,生命のよりしろ(DX合成用),6,無,<span style="color:#FF1493"><strong>デラックス合成用</strong></span><br class="spacer">人工的に造り出された科学の結晶たるよりしろ。デラックス合成にて素材にすることで、ベースユニットの「ライフ」を限界以上まで引き上げる。,イキマース,ソイヤー
328,力のよりしろ(DX合成用),6,無,<span style="color:#FF1493"><strong>デラックス合成用</strong></span><br class="spacer">人工的に造り出された科学の結晶たるよりしろ。デラックス合成にて素材にすることで、ベースユニットの「攻撃力」を限界以上まで引き上げる。,イキマース,ソイヤー
329,癒しのよりしろ(DX合成用),6,無,<span style="color:#FF1493"><strong>デラックス合成用</strong></span><br class="spacer">人工的に造り出された科学の結晶たるよりしろ。デラックス合成にて素材にすることで、ベースユニットの「回復力」を限界以上まで引き上げる。,イキマース,ソイヤー
