no,name,rarity,attribute,story,cutin1,cutin2,cutin3
101,黒陰一円流あやめ,4,闇,暗殺者ゼロシキの元で剣を振るう女剣士。幼い頃に命を救われて以来、その忠心はゼロシキに捧げられている。今は、遠い海の果てにある国へと旅立ったゼロシキの代わりとして、各地からくる竜退治の依頼をこなしつつ、彼の帰りを指折り数えて待っている。,怪我だけじゃ済まないわ,あなたを、待ってます,足を、止めます
102,無影一羽流ぼたん,4,無,心を殺し、竜を狩り続ける女剣士。彼女の中では、もはや竜は「退治」するものでは無く、ただ機械的に「狩る」対象でしか無くなっていた。しかし、より強い竜と相対した時は、その顔に歪んだ笑みを浮かべており、その心の奥底に潜む狂気の一端を垣間見せている。,動かないで……ください,はは……はははッ！,準備は……出来た
103,にじょう,3,火,かつて君主の命を守り通した母のように、立派なブシとなる事を心に誓っている少年。母に鍛えられた自慢の槍術は、いまや自身が通う道場で一番の実力といっても過言では無いとは本人の談。幼馴染のさくらとは犬猿の仲であり、事あるごとに泣かされている。,落ち着いてやれば出来る！,こんな所で負けられない！,自分の力を信じろ！
104,ななお,3,水,水の里に生まれた若き槍使い。元々霧が多いこの土地は長らく竜の脅威から逃れていたが、ついに竜が現れ戦わなくてはならない状況となった。だが各地から聞こえてくる数々の武勇伝に心を踊らせる彼にとってそれは願ってもいない好機であり、意気揚々と討伐隊へと立候補した。,もりあがってきたぜ！,いくぜ、俺の必殺！,目にもの見せてやる！
105,ひめじ,3,光,伝説の料理人の血を引く、若き全能の料理人。代々「裏の料理人」を務める家系に生まれ、人々を虜にする料理の数々を作り出し、影から政治を支配している。伝説の料理人の真の継承者は自分だけと信じて疑わず、ついに「極限の料理人」であるつばきに決戦を申し込んだ。,なんだこの食材はっ！,こんなもん食えるかっ！,天日干しにしてやる！
106,わかまつ,3,闇,「ワノクニ」へと調査入国した王国の騎士。自身が生まれた地とは、似ても似つかぬここ「ワノクニ」を脱したく、苛立ちを募らせる日々を送っている。しかしある時手負いのドラゴンを発見し、妙案を思いつく。それは、ドラゴンに乗って祖国へと帰還するという手段であった。,かったるいぜ,さっさときえなッ！,目障りなんだよ！
107,まつえ,3,無,竜と共に、人里離れた土地で暮らす若者。幼い頃に拾った、子竜を捨てる事が出来ず、結局立派に成長するまで育て上げてしまった。いまでは自分の何倍もの体躯をほこる竜だが、まつえのことは完全に親だと認識しており、彼もまたどうしたものかと困った毎日を送っている。,よーし、まかせとけ,無理しなさんな,ちゃちゃっといこうか
108,炎上弐式にじょう,4,火,相方であるさくらと共に、竜退治の旅を続ける青年。「ワノクニ」では、竜を退治する者を「サムライ」と呼び、君主に仕える役人を「ブシ」という。数多くの竜を退治した者だけがなれる「ブシ」という職業には、昔から憧れる者も多く、にじょうもその一人である。,敗れること恥にあらず！,戦わぬことこそ恥！,敵を討ち、己を知る！
109,水流弐式ななお,4,水,水の里を守る、若き英雄。若気の至りとはいえ、竜の出現に多少でも心を浮かした自分を許せず、そののち厳しい修行に打ち込んだ。今では竜の出現を誰よりも恐れ、しかし現れたとなれば誰よりも早く竜と対峙し、里に危険が及ぶのを水際で食い止めている。,俺は俺をゆるさない,この身、くちようとも！,誇りなど、とうに捨てた！
110,閃光弐式ひめじ,4,光,伝説の料理人「イザナギ」の血を引く、全能の天才料理人。つばきとの料理対決に負け、失意の底にあるひめじだが、その「闇の料理人」としての腕はむしろ上がり、今や更に大勢の者を影から操る。誇りより復讐心で作り上げられるその料理には、ほのかな苦みの味がするという。,ごたんのうあれ,ばっかもんがッー！,出鼻をくじいてやる！
111,黒艶弐式わかまつ,4,闇,ドラゴンを手なずけることに苦心する調査兵。この地を脱するための手段として、ドラゴンで海を渡ることを思いつくも、なかなかなつかず苛立つ日々を送っていた。が、ちょうど同じような境遇の槍使いがいると聞き及び、今度はその者のドラゴンを奪い取ろうと画策をはじめた。,おいおい役立たず,俺の前から消えなッ！,やかましい雑魚が
112,試号弐式まつえ,4,無,遠く離れた異国の地に、竜と人間が共存する場所があると聞き及び、自身も、共に暮らす竜とその地へと赴く準備をしている若者。竜と旅をする内に、異国についての情報も自然と耳に入ってきており、今ではむしろ当初の目的から外れ、異国に対し多少の憧れも抱くようになった。,無理すんなってー,逃げたきゃ逃げな
113,はるな,3,火,遥かなる東国の射手兵団に所属する新人。射手兵団へは、団長であるみかさの活躍に憧れて志願した。同時期に入団したいせとは互いに支え合い、実戦においても素晴らしい連携を見せることから、二人あわせて「蒼炎の射手」として広く知られている。,いつだって前へ進むんだ！,この信念は揺るがない！,削り取る！！
114,いせ,3,水,東国の射手兵団に所属し、焔射手はるなとは同期の新人。もともとは武人の家柄から英才教育を受けてきた、言わば射手の達人。そんな彼女が民間からの出自である、はるなとは、いがみ合うも、なぜか憎めず結果的に良き相方となった。,構わないで…,……最悪,……興味ない
115,みかさ,3,光,極東の果てにある小国の射手兵団長。当時、祖国がまだ弱小の最中に襲いかかった老竜との決戦において、彼女の光の一閃で勝利を収めた。以後、彼女に続く射手が増え、後進の育成にも余念が無い。しかし近頃、決戦で受けた傷が時折疼き、任務に支障をきたし始めている。,躾が必要ね,度し難い隙ね
116,ながと,3,闇,類まれなる天賦の才で、みかさの後任となった射手。恵まれた才覚に溺れることなく、常に己に厳しくあり、祖国を荒らす竜を討伐せしめた。そんな彼女を祖国はただひたすら持ち上げ、賞賛するが、それは本人の意志とは異なった形でひとり歩きをし始めている。,目標拾壱時、了解,目標射程内、うかつね,照準補正、撃ちます
